,,,,,,,,,,,
,18/07/14,CLF,Hearts,1 - 2,Manchester City,View events,,,,,
,26/07/14,CHC,Hearts,3 - 1,Annan Athletic,View events,,,,,
,17/08/14,CHA,Hearts,2 - 1,Hibernian,View events,,,,,
,30/08/14,CHA,Hearts,4 - 1,Falkirk,View events,,,,,
,20/09/14,CHA,Hearts,5 - 1,Cowdenbeath,View events,,,,,
,28/09/14,CHA,Hearts,5 - 0,Livingston,View events,,,,,
,18/10/14,CHA,Hearts,5 - 1,Dumbarton,View events,,,,,
,08/11/14,CHA,Hearts,1 - 0,Raith Rovers,View events,,,,,
,22/11/14,CHA,Hearts,2 - 0,Rangers,View events,,,,,
,30/11/14,FAC,Hearts,0 - 4,Celtic,View events,,,,,
,06/12/14,CHA,Hearts,4 - 1,Queen of the South,View events,,,,,
,20/12/14,CHA,Hearts,2 - 0,Alloa Athletic,View events,,,,,
,03/01/15,CHA,Hearts,1 - 1,Hibernian,,,,,,
,24/01/15,CHA,Hearts,2 - 3,Falkirk,View events,,,,,
,14/02/15,CHA,Hearts,1 - 0,Livingston,View events,,,,,
,28/02/15,CHA,Hearts,10 - 0,Cowdenbeath,View events,,,,,
,14/03/15,CHA,Hearts,4 - 0,Dumbarton,View events,,,,,
,28/03/15,CHA,Hearts,2 - 0,Queen of the South,View events,,,,,
,08/04/15,CHA,Hearts,3 - 0,Alloa Athletic,View events,,,,,
,18/04/15,CHA,Hearts,2 - 1,Raith Rovers,View events,,,,,
,02/05/15,CHA,Hearts,2 - 2,Rangers,View events,,,,,
,26/07/15,CLF,Hearts,1 - 3,Everton,,,,,,
,30/07/15,LEC,Hearts,4 - 2,Arbroath,View events,,,,,
,02/08/15,PRE,Hearts,4 - 3,St. Johnstone,View events,,,,,
,12/08/15,PRE,Hearts,2 - 0,Motherwell,View events,,,,,
,22/08/15,PRE,Hearts,3 - 0,Partick Thistle,View events,,,,,
,20/09/15,PRE,Hearts,1 - 3,Aberdeen,View events,,,,,
,03/10/15,PRE,Hearts,1 - 1,Kilmarnock,View events,,,,,
,24/10/15,PRE,Hearts,2 - 0,Ross County,View events,,,,,
,28/10/15,LEC,Hearts,1 - 2,Celtic,View events,,,,,
,07/11/15,PRE,Hearts,2 - 0,Hamilton Academical,View events,,,,,
,21/11/15,PRE,Hearts,1 - 1,Dundee,View events,,,,,
,27/12/15,PRE,Hearts,2 - 2,Celtic,View events,,,,,
,30/12/15,PRE,Hearts,3 - 2,Dundee United,View events,,,,,
,09/01/16,FAC,Hearts,1 - 0,Aberdeen,View events,,,,,
,16/01/16,PRE,Hearts,6 - 0,Motherwell,View events,,,,,
,07/02/16,FAC,Hearts,2 - 2,Hibernian,View events,,,,,
,27/02/16,PRE,Hearts,1 - 0,Kilmarnock,View events,,,,,
,01/03/16,PRE,Hearts,2 - 0,Inverness CT,View events,,,,,
,05/03/16,PRE,Hearts,1 - 0,Partick Thistle,View events,,,,,
,19/03/16,PRE,Hearts,0 - 3,St. Johnstone,View events,,,,,
,08/04/16,PRE,Hearts,2 - 1,Aberdeen,View events,,,,,
,30/04/16,PRE,Hearts,1 - 3,Celtic,View events,,,,,
,07/05/16,PRE,Hearts,1 - 1,Ross County,View events,,,,,
,15/05/16,PRE,Hearts,2 - 2,St. Johnstone,View events,,,,,
,30/06/16,UEL,Hearts,2 - 1,FCI Tallinn,View events,,,,,
,21/07/16,UEL,Hearts,1 - 2,Birkirkara,View events,,,,,
,07/08/16,PRE,Hearts,1 - 2,Celtic,View events,,,,,
,20/08/16,PRE,Hearts,5 - 1,Inverness CT,View events,,,,,
,10/09/16,PRE,Hearts,3 - 1,Hamilton Academical,View events,,,,,
,24/09/16,PRE,Hearts,0 - 0,Ross County,View events,,,,,
,15/10/16,PRE,Hearts,2 - 0,Dundee,View events,,,,,
,05/11/16,PRE,Hearts,2 - 2,St. Johnstone,View events,,,,,
,26/11/16,PRE,Hearts,3 - 0,Motherwell,View events,,,,,
,30/11/16,PRE,Hearts,2 - 0,Rangers,View events,,,,,
,17/12/16,PRE,Hearts,1 - 1,Partick Thistle,View events,,,,,
,27/12/16,PRE,Hearts,4 - 0,Kilmarnock,View events,,,,,
,30/12/16,PRE,Hearts,0 - 1,Aberdeen,View events,,,,,
,25/01/17,FAC,Hearts,E4 - 2,Raith Rovers,View events,,,,,
,01/02/17,PRE,Hearts,4 - 1,Rangers,View events,,,,,
,12/02/17,FAC,Hearts,0 - 0,Hibernian,,,,,,
,18/02/17,PRE,Hearts,1 - 1,Inverness CT,View events,,,,,
,01/03/17,PRE,Hearts,0 - 1,Ross County,,,,,,
,11/03/17,PRE,Hearts,4 - 0,Hamilton Academical,View events,,,,,
,02/04/17,PRE,Hearts,0 - 5,Celtic,View events,,,,,
,08/04/17,PRE,Hearts,1 - 0,Dundee,View events,,,,,
,29/04/17,PRE,Hearts,2 - 2,Partick Thistle,View events,,,,,
,07/05/17,PRE,Hearts,1 - 2,Aberdeen,View events,,,,,
,01/07/17,CLF,Hearts,1 - 0,Livingston,,,,,,
,14/07/17,CLF,Hearts,1 - 2,Newcastle United,,,,,,
,22/07/17,LEC,Hearts,3 - 0,East Fife,View events,,,,,
,29/07/17,LEC,Hearts,2 - 2P,Dunfermline Athletic,View events,,,,,
,09/09/17,PRE,Hearts,0 - 0,Aberdeen,,,,,,
,21/10/17,PRE,Hearts,1 - 0,St. Johnstone,View events,,,,,
,28/10/17,PRE,Hearts,1 - 3,Rangers,View events,,,,,
,05/11/17,PRE,Hearts,1 - 2,Kilmarnock,View events,,,,,
,19/11/17,PRE,Hearts,1 - 1,Partick Thistle,View events,,,,,
,25/11/17,PRE,Hearts,0 - 0,Ross County,,,,,,
,02/12/17,PRE,Hearts,1 - 1,Hamilton Academical,View events,,,,,
,09/12/17,PRE,Hearts,1 - 0,Motherwell,View events,,,,,
,12/12/17,PRE,Hearts,2 - 0,Dundee,View events,,,,,
,17/12/17,PRE,Hearts,4 - 0,Celtic,View events,,,,,
,27/12/17,PRE,Hearts,0 - 0,Hibernian,,,,,,
,13/01/18,CLF,Hearts,0 - 5,Nürnberg,,,,,,
,21/01/18,FAC,Hearts,1 - 0,Hibernian,View events,,,,,
,27/01/18,PRE,Hearts,1 - 1,Motherwell,View events,,,,,
,03/02/18,PRE,Hearts,1 - 0,St. Johnstone,View events,,,,,
,10/02/18,FAC,Hearts,3 - 0,St. Johnstone,View events,,,,,
,27/02/18,PRE,Hearts,1 - 1,Kilmarnock,View events,,,,,
,17/03/18,PRE,Hearts,3 - 0,Partick Thistle,View events,,,,,
,07/04/18,PRE,Hearts,2 - 0,Aberdeen,View events,,,,,
,06/05/18,PRE,Hearts,1 - 3,Celtic,View events,,,,,
,09/05/18,PRE,Hearts,2 - 1,Hibernian,View events,,,,,
,08/07/18,CLF,Hearts,3 - 1,Partick Thistle,,,,,,
,24/07/18,LEC,Hearts,5 - 0,Cowdenbeath,View events,,,,,
,29/07/18,LEC,Hearts,5 - 0,Inverness CT,View events,,,,,
,11/08/18,PRE,Hearts,1 - 0,Celtic,View events,,,,,
,01/09/18,PRE,Hearts,4 - 1,St. Mirren,View events,,,,,
,22/09/18,PRE,Hearts,0 - 0,Livingston,,,,,,
,26/09/18,LEC,Hearts,4 - 2,Motherwell,View events,,,,,
,29/09/18,PRE,Hearts,2 - 1,St. Johnstone,View events,,,,,
,20/10/18,PRE,Hearts,2 - 1,Aberdeen,View events,,,,,
,28/10/18,LEC,Hearts,0 - 3,Celtic,View events,,,,,
,31/10/18,PRE,Hearts,0 - 0,Hibernian,View events,,,,,
,10/11/18,PRE,Hearts,0 - 1,Kilmarnock,View events,,,,,
,02/12/18,PRE,Hearts,1 - 2,Rangers,View events,,,,,
,08/12/18,PRE,Hearts,1 - 0,Motherwell,View events,,,,,
,26/12/18,PRE,Hearts,2 - 0,Hamilton Academical,View events,,,,,
,20/01/19,FAC,Hearts,1 - 0,Livingston,View events,,,,,
,23/01/19,PRE,Hearts,1 - 2,Dundee,View events,,,,,
,26/01/19,PRE,Hearts,2 - 0,St. Johnstone,View events,,,,,
,06/02/19,PRE,Hearts,0 - 0,Livingston,,,,,,
,10/02/19,FAC,Hearts,4 - 0,Auchinleck Talbot,,,,,,
,23/02/19,PRE,Hearts,1 - 1,St. Mirren,View events,,,,,
,27/02/19,PRE,Hearts,1 - 2,Celtic,View events,,,,,
,12/03/19,FAC,Hearts,2 - 1,Partick Thistle,View events,,,,,
,30/03/19,PRE,Hearts,2 - 1,Aberdeen,View events,,,,,
,06/04/19,PRE,Hearts,1 - 2,Hibernian,View events,,,,,
,13/04/19,FAC,Hearts,3 - 0,Inverness CT,View events,,,,,
,20/04/19,PRE,Hearts,1 - 3,Rangers,View events,,,,,
,04/05/19,PRE,Hearts,0 - 1,Kilmarnock,View events,,,,,
,25/05/19,FAC,Hearts,1 - 2,Celtic,View events,,,,,
,08/07/19,CLF,Hearts,1 - 1,Inverness CT,,,,,,
,12/07/19,LEC,Hearts,P1 - 1,Dundee United,View events,,,,,
,20/07/19,CLF,Hearts,2 - 3,Cambridge United,,,,,,
,24/07/19,LEC,Hearts,2 - 1,Stenhousemuir,View events,,,,,
,10/08/19,PRE,Hearts,0 - 0,Ross County,,,,,,
,31/08/19,PRE,Hearts,2 - 2,Hamilton Academical,View events,,,,,
,14/09/19,PRE,Hearts,2 - 3,Motherwell,View events,,,,,
,25/09/19,LEC,Hearts,P2 - 2,Aberdeen,View events,,,,,
,05/10/19,PRE,Hearts,0 - 1,Kilmarnock,View events,,,,,
,20/10/19,PRE,Hearts,1 - 1,Rangers,View events,,,,,
,09/11/19,PRE,Hearts,5 - 2,St. Mirren,View events,,,,,
,04/12/19,PRE,Hearts,1 - 1,Livingston,View events,,,,,
,14/12/19,PRE,Hearts,0 - 1,St. Johnstone,View events,,,,,
,18/12/19,PRE,Hearts,0 - 2,Celtic,View events,,,,,
,26/12/19,PRE,Hearts,0 - 2,Hibernian,View events,,,,,
,29/12/19,PRE,Hearts,1 - 1,Aberdeen,View events,,,,,
,18/01/20,FAC,Hearts,5 - 0,Airdrieonians,View events,,,,,
,26/01/20,PRE,Hearts,2 - 1,Rangers,View events,,,,,
,05/02/20,PRE,Hearts,2 - 3,Kilmarnock,View events,,,,,
,15/02/20,PRE,Hearts,2 - 2,Hamilton Academical,View events,,,,,
,29/02/20,FAC,Hearts,1 - 0,Rangers,View events,,,,,
,07/03/20,PRE,Hearts,1 - 1,Motherwell,View events,,,,,
,21/03/20,PRE,Hearts,CANC,Ross County,,,,,,
,26/09/20,CLF,Hearts,2 - 0,Partick Thistle,,,,,,
,06/10/20,LEC,Hearts,1 - 0,Inverness CT,View events,,,,,
,13/10/20,LEC,Hearts,3 - 1,Raith Rovers,View events,,,,,
,16/10/20,CHA,Hearts,6 - 2,Dundee,View events,,,,,
,31/10/20,FAC,Hearts,E2 - 1,Hibernian,View events,,,,,
,07/11/20,CHA,Hearts,2 - 1,Inverness CT,View events,,,,,
,24/11/20,CHA,Hearts,3 - 0,Alloa Athletic,View events,,,,,
,12/12/20,CHA,Hearts,15 : 00,Queen of the South,,,,,,
,26/12/20,CHA,Hearts,15 : 00,Ayr United,,,,,,
,29/12/20,CHA,Hearts,19 : 45,Arbroath,,,,,,
,12/01/21,CHA,Hearts,19 : 45,Dunfermline Athletic,,,,,,
,23/01/21,CHA,Hearts,15 : 00,Raith Rovers,,,,,,
,20/02/21,CHA,Hearts,15 : 00,Greenock Morton,,,,,,
,06/03/21,CHA,Hearts,15 : 00,Dundee,,,,,,
,13/03/21,CHA,Hearts,15 : 00,Ayr United,,,,,,
,27/03/21,CHA,Hearts,15 : 00,Queen of the South,,,,,,
,10/04/21,CHA,Hearts,15 : 00,Alloa Athletic,,,,,,
,24/04/21,CHA,Hearts,15 : 00,,,,,,,
